DateTime,Temp
12/31/2023 15:29,29.3
12/31/2023 15:34,29.3
12/31/2023 15:39,29.2
12/31/2023 15:44,29.2
12/31/2023 15:49,29.2
12/31/2023 15:54,29.2
12/31/2023 15:59,29.2
12/31/2023 16:04,29.2
12/31/2023 16:09,29.2
12/31/2023 16:14,29.2
12/31/2023 16:19,29.2
12/31/2023 16:24,29.2
12/31/2023 16:29,29.3
12/31/2023 16:34,29.3
12/31/2023 16:39,29.3
12/31/2023 16:44,29.3
12/31/2023 16:49,29.3
12/31/2023 16:54,29.3
12/31/2023 16:59,29.4
12/31/2023 17:04,29.4
12/31/2023 17:09,29.4
12/31/2023 17:14,29.4
12/31/2023 17:19,29
12/31/2023 17:24,29
12/31/2023 17:29,29.1
12/31/2023 17:34,29.1
12/31/2023 17:39,29.1
12/31/2023 17:44,29.2
12/31/2023 17:49,29.2
12/31/2023 17:54,29.3
12/31/2023 17:59,29.4
12/31/2023 18:04,29.4
12/31/2023 18:09,29.4
12/31/2023 18:14,29.4
12/31/2023 18:19,29.4
12/31/2023 18:24,29.4
12/31/2023 18:29,29.4
12/31/2023 18:34,29.3
12/31/2023 18:39,29.3
12/31/2023 18:44,29.4
12/31/2023 18:49,29.4
12/31/2023 18:54,29.4
12/31/2023 18:59,29.4
12/31/2023 19:04,29.4
12/31/2023 19:09,29.4
12/31/2023 19:14,29.4
12/31/2023 19:19,29.4
12/31/2023 19:24,29.4
12/31/2023 19:29,29.4
12/31/2023 19:34,29.4
12/31/2023 19:39,29.4
12/31/2023 19:44,29.4
12/31/2023 19:49,29.7
12/31/2023 19:54,29.9
12/31/2023 19:59,29.9
12/31/2023 20:04,30.1
12/31/2023 20:09,30.2
12/31/2023 20:14,30.3
12/31/2023 20:19,30.3
12/31/2023 20:24,30.3
12/31/2023 20:29,30.4
12/31/2023 20:34,30.3
12/31/2023 20:39,30.3
12/31/2023 20:44,30.3
12/31/2023 20:49,30.2
12/31/2023 20:54,30.4
12/31/2023 20:59,30.4
12/31/2023 21:04,30.3
12/31/2023 21:09,30.4
12/31/2023 21:14,30.4
12/31/2023 21:19,30.4
12/31/2023 21:24,30.2
12/31/2023 21:29,30.3
12/31/2023 21:34,30.2
12/31/2023 21:39,29.9
12/31/2023 21:44,29.9
12/31/2023 21:49,29.9
12/31/2023 21:54,29.9
12/31/2023 21:59,29.9
12/31/2023 22:04,29.9
12/31/2023 22:09,29.9
12/31/2023 22:14,29.9
12/31/2023 22:19,29.9
12/31/2023 22:24,29.9
12/31/2023 22:29,29.9
12/31/2023 22:34,29.9
12/31/2023 22:39,30.3
12/31/2023 22:44,30.3
12/31/2023 22:49,30.3
12/31/2023 22:54,30.1
12/31/2023 22:59,30.1
12/31/2023 23:04,30.1
12/31/2023 23:09,30
12/31/2023 23:14,30
12/31/2023 23:19,30
12/31/2023 23:24,30
12/31/2023 23:29,30
12/31/2023 23:34,29.9
12/31/2023 23:39,29.9
12/31/2023 23:44,29.9
12/31/2023 23:49,29.9
12/31/2023 23:54,29.9
1/1/2024 0:00,29.1
1/1/2024 0:05,29.1
1/1/2024 0:10,29.2
1/1/2024 0:15,29.2
1/1/2024 0:20,29.2
1/1/2024 0:25,29.3
1/1/2024 0:30,29.3
1/1/2024 0:35,29.4
1/1/2024 0:40,29.5
1/1/2024 0:45,29.5
1/1/2024 0:50,29.5
1/1/2024 0:55,29.9
1/1/2024 1:00,29.9
1/1/2024 1:05,29.9
1/1/2024 1:10,29.9
1/1/2024 1:15,29.9
1/1/2024 1:20,29.9
1/1/2024 1:25,30
1/1/2024 1:30,30
1/1/2024 1:35,30
1/1/2024 1:40,30
1/1/2024 1:45,30
1/1/2024 1:50,30
1/1/2024 1:55,30
1/1/2024 2:00,30
1/1/2024 2:05,30
1/1/2024 2:10,30
1/1/2024 2:15,30
1/1/2024 2:20,30
1/1/2024 2:25,30
1/1/2024 2:30,30.3
1/1/2024 2:35,30.7
1/1/2024 2:40,31.1
1/1/2024 2:45,31.7
1/1/2024 2:50,31.7
1/1/2024 2:55,31.6
1/1/2024 3:00,31.6
1/1/2024 3:05,31.6
1/1/2024 3:10,31.6
1/1/2024 3:15,31.6
1/1/2024 3:20,31.5
1/1/2024 3:25,31.6
1/1/2024 3:30,31.5
1/1/2024 3:35,31.5
1/1/2024 3:40,31.5
1/1/2024 3:45,31.4
1/1/2024 3:50,31.5
1/1/2024 3:55,31.4
1/1/2024 4:00,31.1
1/1/2024 4:05,30.9
1/1/2024 4:10,30.7
1/1/2024 4:15,30.9
1/1/2024 4:20,30.6
1/1/2024 4:25,30.6
1/1/2024 4:30,30.6
1/1/2024 4:35,30.6
1/1/2024 4:40,30.6
1/1/2024 4:45,30.6
1/1/2024 4:50,30.6
1/1/2024 4:55,30.6
1/1/2024 5:00,30.6
1/1/2024 5:05,30.6
1/1/2024 5:10,30.6
1/1/2024 5:15,30.6
1/1/2024 5:20,31
1/1/2024 5:25,31
1/1/2024 5:30,31
1/1/2024 5:35,30.8
1/1/2024 5:40,30.8
1/1/2024 5:45,30.8
1/1/2024 5:50,30.7
1/1/2024 5:55,30.7
1/1/2024 6:00,30.7
1/1/2024 6:05,30.7
1/1/2024 6:10,30.7
1/1/2024 6:15,30.6
1/1/2024 6:20,30.6
1/1/2024 6:25,30.6
1/1/2024 6:30,30.6
1/1/2024 6:35,30.6
1/1/2024 6:40,30.6
1/1/2024 6:45,30.6
1/1/2024 6:50,30.6
1/1/2024 6:55,30.6
1/1/2024 7:00,30.6
1/1/2024 7:05,30.6
1/1/2024 7:10,30.5
1/1/2024 7:15,30.6
1/1/2024 7:20,30.6
1/1/2024 7:25,30.6
1/1/2024 7:30,30.6
1/1/2024 7:35,30.6
1/1/2024 7:40,30.6
1/1/2024 7:45,30.6
1/1/2024 7:50,30.6
1/1/2024 7:55,30.8
1/1/2024 8:00,30.9
1/1/2024 8:05,31.1
1/1/2024 8:10,31.2
1/1/2024 8:15,31.3
1/1/2024 8:20,31.4
1/1/2024 8:25,31.5
1/1/2024 8:30,30.6
1/1/2024 8:35,31.7
1/1/2024 8:40,31.8
1/1/2024 8:45,31.9
1/1/2024 8:50,32
1/1/2024 8:55,32.1
1/1/2024 9:00,32.1
1/1/2024 9:05,32
1/1/2024 9:10,30.6
1/1/2024 9:15,30.6
1/1/2024 9:20,30.6
1/1/2024 9:25,30.6
1/1/2024 9:30,30.6
1/1/2024 9:35,30.6
1/1/2024 9:40,30.5
1/1/2024 9:45,30.4
1/1/2024 9:50,30.5
1/1/2024 9:55,30.5
1/1/2024 10:00,30.5
1/1/2024 10:05,30.5
1/1/2024 10:10,30.5
1/1/2024 10:15,30.4
1/1/2024 10:20,30.5
1/1/2024 10:25,30.5
1/1/2024 10:30,30.5
1/1/2024 10:35,30.5
1/1/2024 10:40,30.5
1/1/2024 10:45,30.5
1/1/2024 10:50,30.5
1/1/2024 10:55,30.5
1/1/2024 11:00,30.5
1/1/2024 11:05,30.5
1/1/2024 11:10,30.5
1/1/2024 11:15,30.5
1/1/2024 11:20,30.3
1/1/2024 11:25,30.3
1/1/2024 11:30,30.3
1/1/2024 11:35,30.2
1/1/2024 11:40,30.3
1/1/2024 11:45,30.3
1/1/2024 11:50,30.3
1/1/2024 11:55,30.3
1/1/2024 12:00,30.3
1/1/2024 12:05,30.2
1/1/2024 12:10,30.3
1/1/2024 12:15,30.2
1/1/2024 12:20,30.3
1/1/2024 12:25,30.3
1/1/2024 12:30,30.3
1/1/2024 12:35,30.3
1/1/2024 12:40,30.3
1/1/2024 12:45,30.2
1/1/2024 12:50,30.3
1/1/2024 12:55,30.2
1/1/2024 13:00,30.3
1/1/2024 13:05,30.3
1/1/2024 13:10,30.3
1/1/2024 13:15,30.3
1/1/2024 13:20,30.3
1/1/2024 13:25,30.4
1/1/2024 13:30,30.4
1/1/2024 13:35,30.4
1/1/2024 13:40,30.4
1/1/2024 13:45,30.3
1/1/2024 13:50,30.4
1/1/2024 13:55,30.4
1/1/2024 14:00,30.4
1/1/2024 14:05,30.4
1/1/2024 14:10,30.4
1/1/2024 14:15,30.3
1/1/2024 14:20,30.4
1/1/2024 14:25,30.4
1/1/2024 14:30,30.4
1/1/2024 14:35,30.4
1/1/2024 14:40,30.4
1/1/2024 14:45,30.3
1/1/2024 14:50,30.1
1/1/2024 14:55,30.1
1/1/2024 15:00,30.1
1/1/2024 15:05,30.1
1/1/2024 15:10,30.1
1/1/2024 15:15,30.2
1/1/2024 15:20,30.3
1/1/2024 15:25,30.3
1/1/2024 15:30,30.3
1/1/2024 15:35,30.3
1/1/2024 15:40,30.2
1/1/2024 15:45,30.2
1/1/2024 15:50,29.8
1/1/2024 15:55,29.6
1/1/2024 16:00,29.6
1/1/2024 16:05,29.6
1/1/2024 16:10,29.3
1/1/2024 16:15,29.3
1/1/2024 16:20,29.3
1/1/2024 16:25,29.3
1/1/2024 16:30,29.3
1/1/2024 16:35,29.3
1/1/2024 16:40,29.3
1/1/2024 16:45,29.3
1/1/2024 16:50,29.3
1/1/2024 16:55,29.2
1/1/2024 17:00,29.2
1/1/2024 17:05,29.2
1/1/2024 17:10,29.2
1/1/2024 17:15,29.2
1/1/2024 17:20,29.2
1/1/2024 17:25,29.2
1/1/2024 17:30,29.2
1/1/2024 17:35,29.1
1/1/2024 17:40,29.1
1/1/2024 17:45,29.1
1/1/2024 17:50,29.1
1/1/2024 17:55,29.1
1/1/2024 18:00,29.2
1/1/2024 18:05,29.2
1/1/2024 18:10,29.2
1/1/2024 18:15,29.2
1/1/2024 18:20,29.2
1/1/2024 18:25,29.2
1/1/2024 18:30,29.2
1/1/2024 18:35,29.2
1/1/2024 18:40,29.2
1/1/2024 18:45,29.2
1/1/2024 18:50,29.2
1/1/2024 18:55,29.2
1/1/2024 19:00,29.1
1/1/2024 19:05,29.1
1/1/2024 19:10,29.1
1/1/2024 19:15,29.1
1/1/2024 19:20,29.1
1/1/2024 19:25,29.1
1/1/2024 19:30,29.1
1/1/2024 19:35,29.1
1/1/2024 19:40,29.1
1/1/2024 19:45,29.1
1/1/2024 19:50,29.1
1/1/2024 19:55,29.2
1/1/2024 20:00,29.2
1/1/2024 20:05,29.2
1/1/2024 20:10,29.2
1/1/2024 20:15,29.2
1/1/2024 20:20,29.2
1/1/2024 20:25,29.2
1/1/2024 20:30,29.2
1/1/2024 20:35,29.2
1/1/2024 20:40,29.2
1/1/2024 20:45,29.2
1/1/2024 20:50,29.2
1/1/2024 20:55,29.2
1/1/2024 21:00,29.1
1/1/2024 21:05,29.1
1/1/2024 21:10,29.1
1/1/2024 21:15,29.1
1/1/2024 21:20,29.1
1/1/2024 21:25,29.1
1/1/2024 21:30,29.1
1/1/2024 21:35,28.8
1/1/2024 21:40,28.8
1/1/2024 21:45,28.8
1/1/2024 21:50,28.9
1/1/2024 21:55,28.9
1/1/2024 22:00,28.9
1/1/2024 22:05,28.9
1/1/2024 22:10,28.9
1/1/2024 22:15,28.9
1/1/2024 22:20,29
1/1/2024 22:25,29
1/1/2024 22:30,29
1/1/2024 22:35,29
1/1/2024 22:40,29.6
1/1/2024 22:45,29.6
1/1/2024 22:50,29.7
1/1/2024 22:55,29.7
1/1/2024 23:00,29.7
1/1/2024 23:05,29.8
1/1/2024 23:10,29.8
1/1/2024 23:15,29.9
1/1/2024 23:20,30
1/1/2024 23:25,30
1/1/2024 23:30,30
1/1/2024 23:35,30
1/1/2024 23:40,30
1/1/2024 23:45,30
1/1/2024 23:50,30
1/1/2024 23:55,30
1/2/2024 0:00,30
1/2/2024 0:05,30.1
1/2/2024 0:10,30.1
1/2/2024 0:15,30.1
1/2/2024 0:20,30.1
1/2/2024 0:25,30.1
1/2/2024 0:30,30.1
1/2/2024 0:35,30.1
1/2/2024 0:40,30.1
1/2/2024 0:45,30.1
1/2/2024 0:50,30.1
1/2/2024 0:55,30.1
1/2/2024 1:00,30.1
1/2/2024 1:05,30.1
1/2/2024 1:10,30.4
1/2/2024 1:15,30.8
1/2/2024 1:20,31.2
1/2/2024 1:25,31.8
1/2/2024 1:30,31.8
1/2/2024 1:35,31.7
1/2/2024 1:40,31.7
1/2/2024 1:45,31.7
1/2/2024 1:50,31.7
1/2/2024 1:55,31.7
1/2/2024 2:00,31.6
1/2/2024 2:05,31.7
1/2/2024 2:10,31.6
1/2/2024 2:15,31.6
1/2/2024 2:20,31.6
1/2/2024 2:25,31.5
1/2/2024 2:30,31.6
1/2/2024 2:35,31.5
1/2/2024 2:40,31.2
1/2/2024 2:45,31
1/2/2024 2:50,30.8
1/2/2024 2:55,30.7
1/2/2024 3:00,30.9
1/2/2024 3:05,30.9
1/2/2024 3:10,30.9
1/2/2024 3:15,30.9
1/2/2024 3:20,30.9
1/2/2024 3:25,30.9
1/2/2024 3:30,30.9
1/2/2024 3:35,30.9
1/2/2024 3:40,30.9
1/2/2024 3:45,30.9
1/2/2024 3:50,30.9
1/2/2024 3:55,30.9
1/2/2024 4:00,30.7
1/2/2024 4:05,30.7
1/2/2024 4:10,30.7
1/2/2024 4:15,30.7
1/2/2024 4:20,30.7
1/2/2024 4:25,30.7
1/2/2024 4:30,30.6
1/2/2024 4:35,30.6
1/2/2024 4:40,30.7
1/2/2024 4:45,30.7
1/2/2024 4:50,30.8
1/2/2024 4:55,30.9
1/2/2024 5:00,30.9
1/2/2024 5:05,30.9
1/2/2024 5:10,30.9
1/2/2024 5:15,30.9
1/2/2024 5:20,30.9
1/2/2024 5:25,30.9
1/2/2024 5:30,30.9
1/2/2024 5:35,30.9
1/2/2024 5:40,30.9
1/2/2024 5:45,30.9
1/2/2024 5:50,30.8
1/2/2024 5:55,30.9
1/2/2024 6:00,30.9
1/2/2024 6:05,30.9
1/2/2024 6:10,30.9
1/2/2024 6:15,30.9
1/2/2024 6:20,30.9
1/2/2024 6:25,31.6
1/2/2024 6:30,31.7
1/2/2024 6:35,31.8
1/2/2024 6:40,32
1/2/2024 6:45,32.1
1/2/2024 6:50,32.3
1/2/2024 6:55,32.5
1/2/2024 7:00,32.6
1/2/2024 7:05,32.7
1/2/2024 7:10,32.8
1/2/2024 7:15,33
1/2/2024 7:20,32.9
1/2/2024 7:25,32.8
1/2/2024 7:30,32.8
1/2/2024 7:35,32.7
1/2/2024 7:40,32.6
1/2/2024 7:45,32.6
1/2/2024 7:50,31.2
1/2/2024 7:55,31.2
1/2/2024 8:00,31.2
1/2/2024 8:05,31.2
1/2/2024 8:10,31.2
1/2/2024 8:15,31.2
1/2/2024 8:20,31.2
1/2/2024 8:25,31.1
1/2/2024 8:30,31.2
1/2/2024 8:35,31.2
1/2/2024 8:40,31.2
1/2/2024 8:45,31.2
1/2/2024 8:50,31.2
1/2/2024 8:55,31.1
1/2/2024 9:00,31.2
1/2/2024 9:05,31.2
1/2/2024 9:10,31.2
1/2/2024 9:15,31.2
1/2/2024 9:20,31.2
1/2/2024 9:25,31.2
1/2/2024 9:30,31.2
1/2/2024 9:35,31.2
1/2/2024 9:40,31.2
1/2/2024 9:45,31
1/2/2024 9:50,31
1/2/2024 9:55,31
1/2/2024 10:00,31
1/2/2024 10:05,31
1/2/2024 10:10,31
1/2/2024 10:15,30.9
1/2/2024 10:20,31
1/2/2024 10:25,31
1/2/2024 10:30,31
1/2/2024 10:35,31
1/2/2024 10:40,31
1/2/2024 10:45,30.9
1/2/2024 10:50,31
1/2/2024 10:55,30.9
1/2/2024 11:00,31
1/2/2024 11:05,31
1/2/2024 11:10,31
1/2/2024 11:15,30.7
1/2/2024 11:20,30.7
1/2/2024 11:25,30.6
1/2/2024 11:30,30.7
1/2/2024 11:35,30.6
1/2/2024 11:40,30.7
1/2/2024 11:45,30.7
1/2/2024 11:50,30.7
1/2/2024 11:55,30.7
1/2/2024 12:00,30.6
1/2/2024 12:05,30.7
1/2/2024 12:10,30.7
1/2/2024 12:15,30.7
1/2/2024 12:20,30.7
1/2/2024 12:25,30.6
1/2/2024 12:30,30.7
1/2/2024 12:35,30.7
1/2/2024 12:40,30.7
1/2/2024 12:45,30.7
1/2/2024 12:50,30.7
1/2/2024 12:55,30.6
1/2/2024 13:00,30.7
1/2/2024 13:05,30.7
1/2/2024 13:10,30.7
1/2/2024 13:15,30.7
1/2/2024 13:20,30.7
1/2/2024 13:25,30.6
1/2/2024 13:30,30.4
1/2/2024 13:35,30.4
1/2/2024 13:40,30.4
1/2/2024 13:45,30.4
1/2/2024 13:50,30.4
