DateTime,CO2
12/31/2023 17:49,553
12/31/2023 17:54,552
12/31/2023 17:59,550
12/31/2023 18:04,557
12/31/2023 18:09,554
12/31/2023 18:14,550
12/31/2023 18:19,553
12/31/2023 18:24,554
12/31/2023 18:29,558
12/31/2023 18:34,552
12/31/2023 18:39,551
12/31/2023 18:44,554
12/31/2023 18:49,552
12/31/2023 18:54,554
12/31/2023 18:59,550
12/31/2023 19:04,547
12/31/2023 19:09,549
12/31/2023 19:14,542
12/31/2023 19:19,548
12/31/2023 19:24,545
12/31/2023 19:29,544
12/31/2023 19:34,545
12/31/2023 19:39,546
12/31/2023 19:44,549
12/31/2023 19:49,553
12/31/2023 19:54,559
12/31/2023 19:59,554
12/31/2023 20:04,556
12/31/2023 20:09,558
12/31/2023 20:14,562
12/31/2023 20:19,555
12/31/2023 20:24,550
12/31/2023 20:29,551
12/31/2023 20:34,550
12/31/2023 20:39,548
12/31/2023 20:44,545
12/31/2023 20:49,548
12/31/2023 20:54,550
12/31/2023 20:59,547
12/31/2023 21:04,545
12/31/2023 21:09,543
12/31/2023 21:14,546
12/31/2023 21:19,545
12/31/2023 21:24,543
12/31/2023 21:29,542
12/31/2023 21:34,548
12/31/2023 21:39,540
12/31/2023 21:44,545
12/31/2023 21:49,551
12/31/2023 21:54,552
12/31/2023 21:59,555
12/31/2023 22:04,552
12/31/2023 22:09,547
12/31/2023 22:14,552
12/31/2023 22:19,549
12/31/2023 22:24,547
12/31/2023 22:29,543
12/31/2023 22:34,542
12/31/2023 22:39,554
12/31/2023 22:44,555
12/31/2023 22:49,554
12/31/2023 22:54,552
12/31/2023 22:59,550
12/31/2023 23:04,549
12/31/2023 23:09,548
12/31/2023 23:14,545
12/31/2023 23:19,543
12/31/2023 23:24,541
12/31/2023 23:29,542
12/31/2023 23:34,545
12/31/2023 23:39,543
12/31/2023 23:44,546
12/31/2023 23:49,544
12/31/2023 23:54,543
1/1/2024 0:00,544
1/1/2024 0:05,549
1/1/2024 0:10,552
1/1/2024 0:15,546
1/1/2024 0:20,547
1/1/2024 0:25,548
1/1/2024 0:30,547
1/1/2024 0:35,545
1/1/2024 0:40,543
1/1/2024 0:45,544
1/1/2024 0:50,558
1/1/2024 0:55,557
1/1/2024 1:00,560
1/1/2024 1:05,559
1/1/2024 1:10,564
1/1/2024 1:15,565
1/1/2024 1:20,567
1/1/2024 1:25,555
1/1/2024 1:30,549
1/1/2024 1:35,548
1/1/2024 1:40,534
1/1/2024 1:45,564
1/1/2024 1:50,566
1/1/2024 1:55,550
1/1/2024 2:00,554
1/1/2024 2:05,558
1/1/2024 2:10,555
1/1/2024 2:15,549
1/1/2024 2:20,553
1/1/2024 2:25,555
1/1/2024 2:30,559
1/1/2024 2:35,554
1/1/2024 2:40,549
1/1/2024 2:45,559
1/1/2024 2:50,549
1/1/2024 2:55,546
1/1/2024 3:00,544
1/1/2024 3:05,543
1/1/2024 3:10,541
1/1/2024 3:15,539
1/1/2024 3:20,544
1/1/2024 3:25,549
1/1/2024 3:30,551
1/1/2024 3:35,560
1/1/2024 3:40,565
1/1/2024 3:45,564
1/1/2024 3:50,569
1/1/2024 3:55,574
1/1/2024 4:00,585
1/1/2024 4:05,584
1/1/2024 4:10,574
1/1/2024 4:15,578
1/1/2024 4:20,575
1/1/2024 4:25,572
1/1/2024 4:30,569
1/1/2024 4:35,565
1/1/2024 4:40,569
1/1/2024 4:45,564
1/1/2024 4:50,569
1/1/2024 4:55,574
1/1/2024 5:00,579
1/1/2024 5:05,584
1/1/2024 5:10,579
1/1/2024 5:15,567
1/1/2024 5:20,561
1/1/2024 5:25,571
